"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","property.size","home_type","tax_year","tax_value","home_size","zipcode","list","url"
2105131287,37.774276,-122.447875,1921,1.5,2,2014-12-09,870000,NA,"MultiFamily2To4",NA,NA,NA,94117,NA,NA
2105932610,37.798615,-122.42131,1923,1,1,2015-06-15,850000,NA,"SingleFamily",NA,NA,NA,94109,NA,NA
15065035,37.80347,-122.40409,1983,1,1,2013-04-30,858000,NA,"Condominium",2015,879114,1056,94111,NA,NA
2107370770,37.75563,-122.41712,2002,1,2,2014-06-04,865000,NA,"SingleFamily",NA,NA,900,94110,NA,NA
122244941,37.76822,-122.421779,2012,2,2,2014-04-22,855000,11020,"Condominium",2015,872082,790,94103,NA,NA
2110287395,37.800323,-122.413077,NA,1.5,1,2014-12-14,850000,NA,"Condominium",NA,NA,800,94133,NA,NA
59700306,37.76338,-122.46553,1908,1,2,2016-03-11,860000,NA,"Condominium",2015,727538,1158,94122,NA,NA
15147662,37.78639,-122.39477,1996,1,1,2015-07-31,860000,NA,"Condominium",2015,331999,809,94105,NA,NA
2125448210,37.789199,-122.412002,2010,2,2,2014-06-23,860000,NA,"Condominium",NA,NA,1104,94108,NA,NA
2126960082,37.787029,-122.393638,2004,1,1,2015-11-20,860000,NA,"SingleFamily",NA,NA,691,94105,NA,NA
15088664,37.787802,-122.486563,1922,2,1,2015-06-12,865000,NA,"SingleFamily",2015,700801,944,94121,NA,NA
2139404492,37.77254,-122.423899,NA,2,3,2014-04-09,860000,NA,"SingleFamily",NA,NA,NA,94102,NA,NA
2146990325,37.7789,-122.40377,1999,1.5,1,2014-02-23,850000,NA,"Condominium",NA,NA,1200,94107,NA,NA
15068303,37.791171,-122.418364,1909,1,3,2013-08-28,865000,NA,"SingleFamily",2015,882282,1264,94109,NA,NA
2100664220,37.774376,-122.458019,1908,2,2,NA,NA,NA,"Condominium",NA,NA,1220,94118,NA,NA
2098867483,37.750178,-122.411603,1906,2,3,NA,NA,NA,"Condominium",NA,NA,NA,94110,NA,NA
15107236,37.759025,-122.488894,1929,1,2,NA,NA,2060,"SingleFamily",2015,66270,1350,94122,NA,NA
67394752,37.777235,-122.395585,2003,2,1,2013-05-17,750000,NA,"Condominium",2015,768457,912,94107,NA,NA
2098957242,37.785644,-122.454414,1929,2,2,NA,NA,NA,"Condominium",NA,NA,880,94118,NA,NA
15074931,37.790021,-122.419595,1989,2,2,2011-06-30,585000,NA,"Condominium",2015,623610,1393,94109,NA,NA
15153743,37.731264,-122.386656,1900,4,5,2005-08-26,825000,2500,"SingleFamily",2015,9e+05,3150,94124,NA,NA
15194469,37.713441,-122.46115,1933,5,4,2003-10-21,406000,3110,"SingleFamily",2015,548945,2000,94112,NA,NA
2099073773,37.78308,-122.407541,1900,1,2,NA,NA,NA,"Condominium",NA,NA,729,94103,NA,NA
2099123934,37.780075,-122.396011,1997,1,1,NA,NA,NA,"Condominium",NA,NA,917,94107,NA,NA
15153789,37.730359,-122.386726,1930,2,5,NA,NA,2495,"MultiFamily2To4",2015,36064,3000,94124,NA,NA
15119692,37.745095,-122.477355,1944,1,2,NA,NA,2495,"SingleFamily",2015,88957,1750,94116,NA,NA
15178605,37.714368,-122.439344,1913,4,6,2009-09-09,500000,2613,"SingleFamily",2015,768457,2615,94112,NA,NA
82785945,37.783241,-122.40735,1926,1,1,2007-10-23,615000,NA,"Condominium",2015,672137,769,94103,NA,NA
15116264,37.749583,-122.491602,1947,1,NA,2014-08-08,875000,2495,"SingleFamily",2015,875000,1356,94116,NA,NA
15116659,37.748546,-122.506502,1956,1,2,2015-05-22,890000,3000,"SingleFamily",2015,217520,1272,94116,NA,NA
15116708,37.748532,-122.507667,1925,2,NA,2015-03-06,895000,1276,"SingleFamily",2015,63783,1265,94116,NA,NA
15117365,37.747142,-122.491353,1945,1,2,2013-08-30,870000,3049,"SingleFamily",2015,887381,1231,94116,NA,NA
15117387,37.746575,-122.491731,1940,1,2,2014-10-31,875000,2996,"SingleFamily",2015,670829,1175,94116,NA,NA
15117559,37.747743,-122.488627,1939,1,2,2014-07-31,870000,2374,"SingleFamily",2015,9e+05,1350,94116,NA,NA
15117826,37.747704,-122.481722,1947,2,3,2013-06-24,870000,2996,"SingleFamily",2015,891314,1624,94116,NA,NA
15118278,37.747656,-122.468719,1949,1,2,2013-07-19,890500,2996,"SingleFamily",2015,908291,1100,94116,NA,NA
15118500,37.744919,-122.505588,1977,3,4,2014-08-08,889000,2996,"SingleFamily",2015,258645,2115,94116,NA,NA
15118561,37.745438,-122.50298,1928,1,2,2015-06-30,870000,2247,"SingleFamily",2015,160106,1200,94116,NA,NA
15118562,37.745351,-122.502974,1928,2,2,2015-08-07,895000,2622,"SingleFamily",2015,131620,1240,94116,NA,NA
15119180,37.744758,-122.490528,1948,2,3,2013-09-20,870500,3000,"SingleFamily",2015,887891,1425,94116,NA,NA
15119335,37.744626,-122.487273,1927,2,3,2014-05-13,888000,2010,"SingleFamily",2015,905741,1700,94116,NA,NA
15119384,37.745015,-122.486246,1931,1,3,2014-10-29,890000,3000,"SingleFamily",2015,352462,1550,94116,NA,NA
15113744,37.750003,-122.5066,1944,1,NA,2015-03-26,875000,3000,"SingleFamily",2015,50901,995,94116,NA,NA
15119709,37.745937,-122.477716,1926,2,4,2014-10-30,898000,2996,"SingleFamily",2015,898000,1850,94116,NA,NA
15120563,37.744066,-122.484032,1927,4,NA,2016-02-11,880000,2996,"SingleFamily",2015,746820,2405,94116,NA,NA
15121040,37.743541,-122.497548,1955,2,4,2016-01-22,890000,2996,"SingleFamily",2015,117873,1362,94116,NA,NA
15122757,37.74235,-122.474243,1927,2,2,2015-02-24,898000,3049,"SingleFamily",2015,921041,1475,94116,NA,NA
15122818,37.741611,-122.471728,1926,1,NA,2014-02-14,870000,3009,"SingleFamily",2015,887382,1130,94116,NA,NA
15123582,37.73956,-122.485863,1900,3,3,2014-06-19,885000,3000,"SingleFamily",2015,902681,1320,94116,NA,NA
15123739,37.739137,-122.489058,1906,1,4,2015-10-28,880000,2996,"SingleFamily",2015,878436,1536,94116,NA,NA
15123776,37.738895,-122.489952,1954,2,3,2013-10-24,870000,1875,"SingleFamily",2015,887381,1298,94116,NA,NA
15123918,37.738794,-122.493084,1948,1,4,2013-07-19,875000,2495,"SingleFamily",2015,892481,1530,94116,NA,NA
15123920,37.738678,-122.49337,1940,1,3,2013-07-30,870000,2374,"SingleFamily",2015,928180,1500,94116,NA,NA
15124142,37.739237,-122.499397,1952,2,3,2014-10-21,878000,2995,"SingleFamily",2015,878000,1510,94116,NA,NA
15124807,37.73765,-122.497552,1948,2,4,2014-08-26,871000,2996,"SingleFamily",2015,77238,1514,94116,NA,NA
15124967,37.738296,-122.493159,1949,1,2,2014-08-20,875000,2495,"SingleFamily",2015,875000,1166,94116,NA,NA
15125014,37.738505,-122.48852,1931,3,4,2013-06-18,870000,3393,"SingleFamily",2015,959645,2241,94116,NA,NA
15125125,37.737026,-122.486184,1956,2,NA,2015-04-15,893000,4412,"SingleFamily",2015,109719,1950,94116,NA,NA
15126047,37.735375,-122.497393,1954,2,4,2013-07-30,880000,3049,"SingleFamily",2015,897581,1733,94116,NA,NA
15126104,37.736084,-122.498603,1952,1,2,2015-09-04,870000,1742,"SingleFamily",2015,141310,903,94116,NA,NA
15126354,37.734531,-122.493115,1940,1,2,2014-04-10,885000,2374,"SingleFamily",2015,902680,1677,94116,NA,NA
