,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
3254,15164552,37.73472,-122.417098,1900,3.0,5,11/16/1994,113500,1742,2990
3255,15114610,37.751865,-122.479795,1940,4.0,4,08/31/2015,1020000,2060,2000
3256,53153547,37.784512,-122.391427,1998,2.0,2,09/08/2004,935000,,1306
3257,2099331228,37.767345,-122.451004,1900,1.0,4,,,2831,2688
3258,15065500,37.799985,-122.41776,1925,2.0,2,08/31/1994,385000,,1392
3259,82785664,37.765747,-122.452476,1909,2.0,3,07/31/2012,1225000,,1925
3260,2110057310,37.735862,-122.431556,1952,3.0,4,,,3484,2136
3261,15078347,37.776607,-122.427722,1900,,0,,,1742,2778
3262,2106364097,37.78933,-122.3917,2008,2.0,2,11/29/2014,1450000,,1163
3263,2099571309,37.77898,-122.391754,,2.0,2,,,,
3264,2100380825,37.783772,-122.486428,1915,2.0,3,,,,1600
3265,2099294597,37.760631,-122.443809,1900,2.0,2,,,,1326
3266,89240113,37.784713,-122.396873,2009,2.0,2,07/16/2013,1200000,,1190
3267,2099560360,37.725688,-122.42279,2014,4.0,4,01/07/2015,1280000,3001,3244
3268,15125727,37.735772,-122.48995,1931,4.0,4,12/30/2015,1600000,7426,3085
3269,15125841,37.737027,-122.492161,1940,2.5,4,04/10/2014,1539000,2787,2933
3270,15132662,37.748441,-122.442783,1995,2.0,2,07/25/2013,1595000,1500,1862
3271,15133095,37.742034,-122.458176,1995,4.5,5,12/05/2013,1575000,2624,3569
3272,15133248,37.745374,-122.467154,1937,2.0,3,09/12/2013,1600000,3332,1874
3273,15133301,37.744375,-122.463361,1922,2.0,4,10/18/2013,1560000,3700,2222
3274,15133756,37.744342,-122.457687,1926,2.5,4,07/07/2015,1600000,3998,2215
3275,15133799,37.745454,-122.4584,1924,3.25,4,05/14/2013,1551000,3998,2413
3276,15133807,37.74514,-122.457306,1927,2.5,,11/25/2015,1570000,3685,1945
3277,15133916,37.742165,-122.46763,1919,1.0,3,12/13/2013,1535000,3332,1756
3278,15134035,37.744592,-122.464883,1929,2.0,3,11/19/2013,1600000,3484,1975
3279,15134173,37.7391,-122.4694,1918,2.0,4,05/31/2013,1550000,4573,2195
3280,15152633,37.750199,-122.408561,1914,,0,08/21/2015,1550000,2678,2624
3281,15160078,37.745773,-122.414478,1870,1.0,2,08/22/2014,1550000,2178,1800
3282,15160509,37.74578,-122.407425,1964,,3,12/15/2015,1590000,4253,1594
3283,15160652,37.744741,-122.411125,1999,3.5,3,05/14/2013,1600000,2750,2450
3284,15160762,37.74407,-122.409135,1914,1.0,1,09/02/2014,1550000,6298,750
3285,15160844,37.743842,-122.40778,1994,4.0,4,11/14/2013,1575000,1750,2426
3286,15161209,37.744966,-122.41938,1912,1.5,3,07/22/2015,1550100,1517,1450
3287,15161387,37.74101,-122.418369,1906,2.0,3,08/13/2013,1600000,1639,1600
3288,15161535,37.741862,-122.411514,1904,2.0,3,06/26/2015,1575000,1746,1140
3289,15162326,37.739514,-122.414804,1907,2.0,3,02/19/2014,1600000,1746,1410
3290,15162397,37.739655,-122.416281,1915,3.0,4,07/31/2013,1558000,1750,2163
3291,15162437,37.740251,-122.417236,1900,2.0,3,10/29/2014,1565000,1746,1062
