,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
3891,37.749322,-122.481175,1943,2.0,2,07/23/2013,690000,3000,1141
3892,37.744274,-122.421279,2004,2.0,2,11/08/2013,675000,,1171
3893,37.711177,-122.388084,2007,2.0,2,07/02/2015,670000,,1073
3894,37.748694,-122.50006,1951,1.0,2,10/04/2013,685000,3049,893
3895,37.741615,-122.502681,2008,2.0,2,01/22/2015,675100,5750,1145
3896,37.735694,-122.453529,,,0,01/15/2015,680000,4374,
3897,37.714688,-122.40169,,4.0,4,01/08/2014,680000,1796,2783
3898,37.747833,-122.500078,1951,1.0,2,08/07/2014,680000,2495,905
3899,37.748828,-122.504786,1945,2.0,,02/19/2014,695000,3000,1254
3900,37.725337,-122.399307,2010,2.0,2,11/20/2015,680000,,1011
3901,37.713024,-122.394823,2013,3.0,3,10/18/2013,688000,,1461
3902,37.713022,-122.394799,2013,4.0,3,11/07/2013,676500,,1679
3903,37.740585,-122.506362,1945,1.0,2,01/13/2015,670000,,1034
3904,37.747565,-122.506915,1950,1.0,2,07/30/2013,695000,2050,1300
3905,37.712871,-122.462348,1940,3.0,3,06/10/2015,680000,1873,1373
3906,37.710695,-122.44124,1954,1.0,3,04/29/2014,690000,2996,1287
3907,37.708953,-122.455665,1926,2.0,3,04/14/2014,680000,2178,2150
3908,37.717415,-122.463812,1951,2.0,3,04/07/2014,689000,2495,1000
3909,37.748116,-122.506888,1952,1.0,2,10/25/2013,688000,2996,1036
3910,37.745042,-122.45174,1990,2.0,2,07/06/2015,680000,,860
3911,37.744602,-122.503416,1939,1.0,2,10/21/2014,690000,3000,1150
3912,37.78524,-122.415125,1930,1.0,0,10/02/2013,363000,,552
3913,37.78524,-122.415125,1930,1.0,0,08/01/2013,308000,,520
3914,37.791089,-122.413658,1978,1.0,1,01/22/2014,675100,,795
3915,37.791067,-122.411314,1973,1.0,1,09/17/2014,690000,,738
3916,37.790348,-122.412568,1963,1.0,,08/27/2013,699000,,815
3917,37.803099,-122.43559,1963,1.0,1,06/11/2014,680000,671,592
3918,37.800573,-122.424849,1929,1.0,,07/03/2013,680000,,785
3919,37.798932,-122.423244,1909,2.0,5,03/08/2016,679500,3438,3120
3920,37.796844,-122.439371,1923,1.0,1,12/03/2013,675000,,750
3921,37.796844,-122.439371,1923,1.0,1,12/03/2013,675000,3000,870
3922,37.796777,-122.428146,1900,3.0,,08/19/2014,693000,3711,2260
3923,37.7949,-122.420425,1909,1.0,,10/16/2014,685000,,715
3924,37.792902,-122.429119,1959,1.0,1,08/05/2014,683500,,640
3925,37.789731,-122.424903,1924,1.0,1,03/26/2015,690000,,660
3926,37.788649,-122.432728,1900,2.0,2,04/15/2014,698888,2221,860
3927,37.78675,-122.424235,1993,1.0,1,11/19/2015,690000,,650
3928,37.757024,-122.407966,1911,2.0,,01/16/2015,670000,2500,2569
3929,37.753905,-122.40202,1989,1.0,2,12/30/2015,675000,,809
3930,37.752157,-122.399676,1984,1.0,3,03/20/2015,699000,880,1109
3931,37.752727,-122.393331,1998,3.0,3,11/01/2013,679500,,1478
3932,37.752069,-122.406936,1925,2.0,,12/11/2015,680000,2500,3020
3933,37.751272,-122.402509,1907,2.0,,10/09/2015,675000,1738,1900
3934,37.751043,-122.401567,1925,1.0,2,06/20/2013,694000,2500,900
3935,37.751369,-122.399501,1984,1.0,2,10/03/2014,683000,706,956
3936,37.751006,-122.427638,1907,1.0,2,08/21/2013,680000,2250,1132
3937,37.804952,-122.421165,1912,1.0,2,07/09/2014,675000,3850,5460
3938,37.804401,-122.404265,1975,2.0,2,07/22/2014,741000,1194,1333
3939,37.804401,-122.404265,1975,2.0,2,07/22/2014,741000,1194,1333
3940,37.782485,-122.43677,1890,1.0,1,07/14/2015,670000,,625
3941,37.751899,-122.434326,1913,1.0,1,04/21/2016,694000,,
3942,37.805739,-122.438965,1926,1.0,1,09/04/2014,672000,,554
3943,37.792925,-122.42174,2000,1.0,1,06/13/2014,690000,,807
3944,37.763913,-122.40571,1925,3.0,3,12/26/2013,688500,,2007
3945,37.762829,-122.41323,2001,2.0,1,07/25/2013,685000,,970
3946,37.779585,-122.465595,1953,2.0,2,09/19/2013,670000,,730
3947,37.774375,-122.399585,1998,2.0,2,11/21/2013,695000,,890
3948,37.765014,-122.394343,1999,2.0,1,07/16/2014,680000,4133,850
3949,37.765014,-122.394343,1999,1.5,1,05/09/2014,675000,4133,836
3950,37.754104,-122.399295,1917,1.0,,12/19/2014,685000,,808
3951,37.753903,-122.393098,2001,1.5,1,10/23/2014,685000,,784
