"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","home_type","tax_year","tax_value","home_size","zipcode","list","url","property_size","log_last_sold_price","log_tax_value","log_home_size","log_property_size","location_cluster"
63863754,40.720001,-74.007133,1924,3,2,2008-09-12,3100000,"Condominium",2015,491103,3000,10013,"$5,600,000","http://www.zillow.com/homes/for_sale/63863754_zpid",NA,14.9469126694554,13.1044091607442,8.00636756765025,NA,"8"
89332291,40.829612,-73.943679,1920,2,3,2015-04-07,773870,"Condominium",2014,120000,1021,10031,NA,NA,NA,13.5591591798089,11.6952470217642,6.92853781816467,NA,"11"
31952160,40.770134,-73.872154,1925,3,6,2015-10-15,902000,"MultiFamily2To4",2015,603000,2780,11369,NA,NA,3900,13.7123697990448,13.3096724757093,7.93020620668468,8.26873183211774,"1"
32342585,40.551824,-74.147065,1910,4,6,2004-10-19,226200,"SingleFamily",2015,474000,2600,10308,"$719,000","http://www.zillow.com/homes/for_sale/32342585_zpid",8042,12.3291748426642,13.0689626006772,7.86326672400957,8.99243308745722,"13"
29779308,40.828,-73.902385,1899,4,9,2015-04-27,445000,"MultiFamily2To4",2015,403000,3300,10456,NA,NA,1748,13.0058295611484,12.9066918409288,8.10167774745457,7.46622755621548,"11"
32275211,40.640789,-74.115325,1920,3,4,2013-11-04,230000,"SingleFamily",2015,379000,1504,10310,NA,NA,5900,12.3458345879053,12.8452914840646,7.31588350450979,8.68270762989381,"13"
32200829,40.678245,-73.73898,2013,4,7,2014-02-25,460000,"SingleFamily",2015,456000,2000,11413,NA,NA,4700,13.0389817684653,13.0302480884965,7.60090245954208,8.45531778769815,"6"
32322944,40.595839,-74.069625,1950,2,3,2015-07-31,260000,"MultiFamily2To4",2015,497000,2440,10305,NA,NA,3920,12.4684369099977,13.1163453050788,7.79975331828725,8.27384693278451,"7"
93392761,40.747245,-73.941139,2007,1,0,2013-10-31,464000,"MultiFamily2To4",2015,49726,479,11101,NA,NA,NA,13.0476398312084,10.8142832141283,6.17170059741091,NA,"9"
32294269,40.598239,-74.099866,1955,4,5,2013-08-23,1275000,"MultiFamily2To4",2015,1006000,5960,10304,NA,NA,10000,14.0584567365747,13.8214926296418,8.6928257600594,9.21034037197618,"13"
32202685,40.669039,-73.75456,1920,3,6,2015-03-10,625000,"MultiFamily2To4",2015,317000,1352,11413,NA,NA,9000,13.3455069287185,12.6666570528594,7.20934025660291,9.10497985631836,"6"
89071440,40.66468,-73.988716,2008,2,2,2010-09-24,510000,"Condominium",2015,176660,767,11215,"$899,000","http://www.zillow.com/homes/for_sale/89071440_zpid",NA,13.1421660047005,12.0819822602991,6.64248680136726,NA,"8"
30674024,40.64183,-73.97066,1901,2,3,2015-07-21,972900,"Townhouse",2015,631000,1476,11218,NA,NA,2000,13.7880365809635,13.3550611415234,7.29709100516042,7.60090245954208,"7"
31528163,40.755127,-73.972313,1985,1.5,1,2009-10-29,685000,"Condominium",2014,207903,761,10017,"$1,175,000","http://www.zillow.com/homes/for_sale/31528163_zpid",NA,13.4371741172444,12.2448269037564,6.63463335786169,NA,"2"
55503170,40.773343,-73.945996,1999,2.5,3,2013-07-09,1995000,"Condominium",2014,376195,1744,10028,NA,NA,NA,14.5061546083061,12.837862904958,7.46393660446893,NA,"9"
30634898,40.667055,-73.89389,1901,3,6,2016-03-16,510000,"MultiFamily2To4",2015,528000,3000,11207,NA,NA,1999,13.1421660047005,13.1768515626884,8.00636756765025,7.6004023345004,"14"
31492428,40.708503,-74.018127,1988,1,1,2015-02-02,213750,"Condominium",2014,113048,560,10280,NA,NA,NA,12.272562386799,11.6355677862626,6.32793678372919,NA,"8"
29835563,40.89194,-73.83314,1949,2,3,2014-06-04,375000,"SingleFamily",2015,398000,2072,10466,NA,NA,5140,12.8346813049525,12.8942072842666,7.63626960337937,8.54480835844921,"3"
30590656,40.67444,-73.96851,1940,1,2,2014-12-18,1100000,"MultiFamily5Plus",2015,8696000,97320,11238,NA,NA,26422,13.9108207377686,15.9783737077832,11.4857597968975,10.1819522754383,"14"
32281845,40.617395,-74.130231,2013,4,3,2014-07-21,685000,"SingleFamily",2015,521000,2376,10314,NA,NA,4800,13.4371741172444,13.1635053207355,7.77317368048254,8.47637119689598,"13"
31535162,40.768436,-73.961945,1986,2.5,2,2004-12-22,2550000,"Condominium",2015,1559750,1820,10021,"$2,650,000","http://www.zillow.com/homes/for_sale/31535162_zpid",NA,14.7516039171346,14.260036109973,7.50659178007084,NA,"2"
94716970,40.660736,-73.948257,2005,2.5,3,2013-05-22,532000,"Condominium",2015,193318,1834,11225,NA,NA,NA,13.1843987683238,12.1720917803644,7.51425465281641,NA,"14"
32145158,40.714794,-73.759905,1925,3,3,2014-12-03,445000,"SingleFamily",2015,386000,1264,11423,NA,NA,2400,13.0058295611484,12.863592648447,7.1420365747068,7.78322401633604,"6"
30609557,40.68459,-73.94961,1910,3,5,2015-11-04,1150000,"MultiFamily2To4",2015,731000,2400,11216,NA,NA,2000,13.9552725003394,13.5021687387319,7.78322401633604,7.60090245954208,"14"
32063200,40.76196,-73.76153,1945,1,1,2013-08-27,300000,"SingleFamily",2015,835000,1449,11361,NA,NA,4000,12.6115377536383,13.635187003833,7.27862894232068,8.29404964010203,"5"
32134907,40.710785,-73.783819,1920,4,4,2005-08-31,399500,"Townhouse",2015,392000,1452,11432,"$750,000","http://www.zillow.com/homes/for_sale/32134907_zpid",2214,12.8979690441885,12.8790171187726,7.28069719538474,7.70255611326858,"6"
30600674,40.680393,-73.914512,1996,1.5,3,2015-06-16,395000,"MultiFamily2To4",2015,85526,1100,11233,NA,NA,NA,12.8866410438833,11.356575702265,7.00306545878646,NA,"14"
29811768,40.839349,-73.847545,1930,2,6,2014-09-24,424000,"SingleFamily",2015,379000,1728,10461,NA,NA,2393,12.9574887342141,12.8452914840646,7.454719949364,7.78030308790837,"3"
30593733,40.668135,-73.94006,1899,2,6,2015-11-13,998200,"MultiFamily2To4",2015,607000,2088,11213,NA,NA,1999,13.8137089360176,13.3162840700416,7.64396194900253,7.6004023345004,"14"
32102139,40.745815,-73.711165,1945,2.5,4,2013-12-06,532000,"SingleFamily",2015,541000,1020,11004,NA,NA,4000,13.1843987683238,13.2011745578286,6.92755790627832,8.29404964010203,"12"
32041351,40.749755,-73.820145,1989,2,4,2014-08-07,875000,"MultiFamily2To4",2015,731000,2248,11355,NA,NA,2500,13.6819791653398,13.5021687387319,7.71779621101358,7.82404601085629,"5"
32289360,40.61027,-74.12303,1994,2,3,2013-07-02,395000,"SingleFamily",2015,380000,1824,10314,NA,NA,2500,12.8866410438833,12.8479265317026,7.50878717063428,7.82404601085629,"13"
