,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
4987,15154903,37.716943,-122.390332,1962,2.0,3,05/29/2015,780000,2509,SingleFamily,2015,668864.0,1204,94124
4988,15155050,37.719138,-122.395272,1965,3.0,5,02/21/2014,784000,2495,SingleFamily,2015,799408.0,2200,94124
4989,15155756,37.739187,-122.387893,1940,2.0,4,06/10/2015,785000,174240,SingleFamily,2015,535488.0,1690,94124
4990,15155980,37.736092,-122.3885,1925,2.0,2,02/05/2015,775100,2495,SingleFamily,2015,287728.0,928,94124
4991,15156124,37.734439,-122.38785,1918,1.0,3,01/17/2014,769000,2500,SingleFamily,2015,784364.0,2440,94124
4992,15156423,37.734992,-122.391564,1911,2.0,2,08/06/2015,776000,2495,SingleFamily,2015,139738.0,1430,94124
4993,15156605,37.733785,-122.391696,1935,2.0,4,02/26/2014,780000,3484,SingleFamily,2015,795584.0,3140,94124
4994,15156830,37.73449,-122.396289,1986,2.0,2,12/08/2015,765000,1845,SingleFamily,2015,475999.0,1301,94124
4995,15156917,37.734082,-122.395738,1986,2.0,3,09/11/2015,770000,2715,SingleFamily,2015,531640.0,1594,94124
4996,15157891,37.73527,-122.402488,1912,7.0,,12/22/2015,768000,2495,SingleFamily,2015,172789.0,1734,94124
4997,15158108,37.735467,-122.398369,1942,2.0,3,04/01/2014,785000,2583,SingleFamily,2015,800684.0,1596,94124
4998,15158489,37.732125,-122.401101,1940,2.0,3,09/16/2014,771000,2330,SingleFamily,2015,770922.0,1680,94124
4999,15163852,37.73705,-122.415162,1906,1.0,1,03/31/2015,760000,1750,SingleFamily,2015,212111.0,800,94110
5000,15164628,37.733269,-122.415892,2000,3.0,3,02/26/2015,780000,2240,SingleFamily,2015,724966.0,2173,94110
5001,15166127,37.729556,-122.426166,1939,1.0,2,07/18/2014,760000,1724,SingleFamily,2015,760000.0,1125,94112
5002,15166665,37.727537,-122.42137,1928,1.0,2,07/18/2013,766000,2996,SingleFamily,2015,781304.0,1510,94134
5003,15166774,37.728333,-122.417763,1949,3.0,3,02/03/2015,760000,2996,SingleFamily,2015,902594.0,2237,94134
5004,15166909,37.730199,-122.4109,1970,2.0,3,09/06/2013,760000,3000,SingleFamily,2015,775184.0,1500,94134
5005,15167016,37.731812,-122.406978,1913,1.0,2,03/16/2016,775000,1999,SingleFamily,2015,542018.0,1000,94134
5006,15167451,37.726784,-122.41888,1978,2.0,3,10/23/2013,780000,3000,SingleFamily,2015,795584.0,1500,94134
5007,15168077,37.725942,-122.425934,1957,1.0,3,10/28/2014,769000,2495,SingleFamily,2015,64156.0,1375,94112
5008,15168923,37.724823,-122.415062,1956,1.0,2,01/12/2015,775000,1742,SingleFamily,2015,79152.0,1243,94134
