,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
7513,72511158,40.715813,-73.98641,,,,07/17/2014,610100,,Cooperative,,,,10002
7514,121202631,40.816169,-73.940383,2009,,,07/15/2013,300000,4996,Condominium,2014,124721.0,710,10030
7515,2100871231,40.73162,-73.846328,1945,1.0,1,,,,Cooperative,,,800,11375
7516,31515964,40.767215,-73.983016,1987,1.0,1,02/18/2014,1475000,,Condominium,2014,210676.0,789,10019
7517,119915781,40.777298,-73.92173,2007,1.0,1,12/11/2015,560000,,Cooperative,,,1065,11102
7518,32057293,40.783195,-73.774184,1970,1.0,2,07/01/2013,870000,3200,MultiFamily2To4,2015,930000.0,2316,11360
7519,30573450,40.67803,-74.015795,1899,,0,07/22/2013,875000,2000,SingleFamily,2015,876000.0,1800,11231
7520,32368437,40.51569,-74.207945,1996,3.0,5,05/08/2015,930000,9360,MultiFamily2To4,2015,1033000.0,4570,10309
7521,2103569395,40.7223,-73.9422,1910,4.0,7,,,,MultiFamily2To4,,,,11222
7522,32001342,40.722145,-73.857215,1940,3.0,3,02/04/2015,810000,2321,SingleFamily,2015,762000.0,1800,11374
7523,30586936,40.67227,-73.9734,1888,1.0,1,08/16/2013,536000,2520,Cooperative,2015,597000.0,5780,11215
7524,32106633,40.69507,-73.854925,1930,1.5,3,,,2000,SingleFamily,2015,426000.0,1514,11421
7525,122976628,40.821723,-73.940773,1940,1.0,3,01/07/2015,240000,,Cooperative,,,,10030
7526,2098916039,40.6758,-73.96849,,2.0,3,,,,SingleFamily,,,,11238
7527,29798839,40.839165,-73.867655,1950,1.0,1,12/12/2013,255000,2613,Apartment,2015,374000.0,800,10460
7528,32076470,40.724055,-73.80203,1955,1.0,2,07/12/2013,680000,1920,MultiFamily2To4,2015,682000.0,1880,11366
7529,30744589,40.59797,-73.952675,1930,4.5,4,07/16/2013,938000,4007,SingleFamily,2015,968000.0,1392,11229
7530,30577919,40.642645,-74.011255,1910,,,12/24/2013,885000,2003,Duplex,2015,932000.0,1840,11220
7531,31552859,40.82224,-73.949015,1901,3.5,6,04/07/2015,2350000,1782,Townhouse,2014,1354000.0,4652,10031
7532,32304946,40.616754,-74.167441,1986,2.0,2,07/11/2013,290000,1350,SingleFamily,2015,292000.0,1150,10314
7533,32330418,40.57564,-74.106025,1920,2.5,3,07/24/2015,810000,4600,SingleFamily,2015,396000.0,3115,10306
7534,30743851,40.602365,-73.942975,1930,,,01/28/2016,560000,1864,SingleFamily,2015,390000.0,1785,11229
7535,32212477,40.653815,-73.730345,1950,3.0,4,12/28/2015,320000,3998,SingleFamily,2015,311000.0,1125,11422
7536,31493031,40.708096,-74.017197,1989,2.0,2,08/18/2014,845000,,MultiFamily2To4,2015,410243.0,1281,10280
7537,2101572297,40.846241,-73.920828,2010,2.0,2,,,,Condominium,,,918,10452
7538,31546286,40.801575,-73.945124,2000,3.5,7,12/16/2013,1320000,2000,Townhouse,2015,1282000.0,3600,10035
