,zillow_id,homo_info,year_updated,basement,roof,view,heating_sources,heating_system,rooms,neighborhood,school_district
7188,15098994,http://www.zillow.com/homedetails/746-12th-Ave-San-Francisco-CA-94118/15098994_zpid/,,,,,,,,,
7189,15099684,http://www.zillow.com/homedetails/800-29th-Ave-San-Francisco-CA-94121/15099684_zpid/,,,Other,,,,Dining room,,
7190,15099764,http://www.zillow.com/homedetails/850-852-31ST-Ave-San-Francisco-CA-94121/15099764_zpid/,,,,,,Forced air,"Breakfast nook, Dining room",,
7191,15100052,http://www.zillow.com/homedetails/858-37th-Ave-San-Francisco-CA-94121/15100052_zpid/,,,Other,,Gas,,Dining room,,
7192,15100300,http://www.zillow.com/homedetails/828-42nd-Ave-San-Francisco-CA-94121/15100300_zpid/,,None,Other,,,,Breakfast nook,,
7193,15101054,http://www.zillow.com/homedetails/1238-43rd-Ave-San-Francisco-CA-94122/15101054_zpid/,,,,,,,,,
7194,15101287,http://www.zillow.com/homedetails/1290-1292-38TH-Ave-San-Francisco-CA-94122/15101287_zpid/,,,,,,,,,
7195,15101435,http://www.zillow.com/homedetails/1287-33rd-Ave-San-Francisco-CA-94122/15101435_zpid/,,,,,,,,,
7196,15101679,http://www.zillow.com/homedetails/1233-27th-Ave-San-Francisco-CA-94122/15101679_zpid/,2014,,,,,,,,
7197,15102741,http://www.zillow.com/homedetails/626-Judah-St-San-Francisco-CA-94122/15102741_zpid/,,,Other,Water,None,Other,Family room,,
7198,15103014,http://www.zillow.com/homedetails/1362-21st-Ave-San-Francisco-CA-94122/15103014_zpid/,,,,,,,,,
7199,15103390,http://www.zillow.com/homedetails/1300-30th-Ave-San-Francisco-CA-94122/15103390_zpid/,,Finished,Other,,Gas,Forced air,"Master bath, Pantry, Breakfast nook",,
7200,15103897,http://www.zillow.com/homedetails/1378-1380-42ND-Ave-San-Francisco-CA-94122/15103897_zpid/,,,,,,,,,
7201,15104360,http://www.zillow.com/homedetails/1463-43rd-Ave-San-Francisco-CA-94122/15104360_zpid/,2006,None,Composition,"Mountain, Water",Gas,Forced air,"Breakfast nook, Dining room, Laundry room, Library, Master bath, Office, Workshop, Sun room, Walk-in closet",,
7202,15104496,http://www.zillow.com/homedetails/1422-42nd-Ave-San-Francisco-CA-94122/15104496_zpid/,,,,,,,,,
7203,15105593,http://www.zillow.com/homedetails/1330-Kirkham-St-San-Francisco-CA-94122/15105593_zpid/,,,,,,,,,
7204,15105973,http://www.zillow.com/homedetails/1424-10th-Ave-San-Francisco-CA-94122/15105973_zpid/,,,,,,,,,
7205,15106067,http://www.zillow.com/homedetails/1490-7th-Ave-San-Francisco-CA-94122/15106067_zpid/,,Unfinished,Asphalt,City,Gas,"Forced air, Baseboard",Dining room,sunset,
7206,15106174,http://www.zillow.com/homedetails/1557-7th-Ave-San-Francisco-CA-94122/15106174_zpid/,,,,,,,,,
7207,15106495,http://www.zillow.com/homedetails/900-Lawton-St-San-Francisco-CA-94122/15106495_zpid/,,None,,,,,,,
7208,15106582,http://www.zillow.com/homedetails/1540-17th-Ave-San-Francisco-CA-94122/15106582_zpid/,,Finished,,Mountain,,,,,
7209,15108065,http://www.zillow.com/homedetails/1644-Great-Hwy-San-Francisco-CA-94122/15108065_zpid/,,,,,,,,,
7210,15108302,http://www.zillow.com/homedetails/1643-43rd-Ave-San-Francisco-CA-94122/15108302_zpid/,,,,,,,,,
7211,15108819,http://www.zillow.com/homedetails/2601-Lawton-St-San-Francisco-CA-94122/15108819_zpid/,,,,,,,,,
7212,15109787,http://www.zillow.com/homedetails/432-Moraga-St-San-Francisco-CA-94122/15109787_zpid/,,,,,,,,,
7213,15110223,http://www.zillow.com/homedetails/1730-44th-Ave-San-Francisco-CA-94122/15110223_zpid/,2002,Finished,,Water,Gas,Radiant,"Dining room, Family room, Laundry room, Master bath, Recreation room, Walk-in closet",,
7214,15110924,http://www.zillow.com/homedetails/1723-27th-Ave-San-Francisco-CA-94122/15110924_zpid/,,Finished,,City,,Forced air,Dining room,,
7215,15110995,http://www.zillow.com/homedetails/1778-27th-Ave-San-Francisco-CA-94122/15110995_zpid/,,,,,,,,,
7216,15111657,http://www.zillow.com/homedetails/1762-10th-Ave-San-Francisco-CA-94122/15111657_zpid/,,,,,,,,,
7217,15111723,http://www.zillow.com/homedetails/1754-8th-Ave-San-Francisco-CA-94122/15111723_zpid/,,,Other,City,None,Other,,,
7218,15111993,http://www.zillow.com/homedetails/1880-Funston-Ave-San-Francisco-CA-94116/15111993_zpid/,,,,"City, Water",,,,,
7219,15112035,http://www.zillow.com/homedetails/1839-14th-Ave-San-Francisco-CA-94122/15112035_zpid/,,,,,,,,,
7220,15112285,http://www.zillow.com/homedetails/1822-20th-Ave-San-Francisco-CA-94122/15112285_zpid/,,,,,,Forced air,"Breakfast nook, Solarium / Atrium, Dining room, Sun room, Family room, Walk-in closet, Office, Pantry",,
7221,15112435,http://www.zillow.com/homedetails/1849-23rd-Ave-San-Francisco-CA-94122/15112435_zpid/,,,,,,Forced air,"Sun room, Library, Breakfast nook, Family room, Dining room",,
7222,15113076,http://www.zillow.com/homedetails/2845-Noriega-St-San-Francisco-CA-94122/15113076_zpid/,,Partially finished,,,,,"Recreation room, Breakfast nook, Dining room",,
