"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","property.size","home_type","tax_year","tax_value","home_size","zipcode","list","url"
32376818,40.507227,-74.251304,1930,NA,NA,2016-02-08,395000,3000,"SingleFamily",2015,422000,1328,10307,NA,NA
30746300,40.5973,-73.943905,1940,2,2,2009-12-18,462500,1598,"SingleFamily",2015,397000,1088,11229,"$699,888","http://www.zillow.com/homes/for_sale/30746300_zpid"
114163303,40.64616,-73.999542,1926,1,3,2016-03-02,640000,NA,"Cooperative",NA,NA,970,11232,NA,NA
2099675125,40.6269,-73.9122,1970,5,7,NA,NA,2167,"SingleFamily",NA,NA,2950,11234,"$749,000","http://www.zillow.com/homes/for_sale/2099675125_zpid"
2099565208,40.66279,-73.76717,NA,5,6,NA,NA,6517,"MultiFamily2To4",NA,NA,NA,11434,"$799,999","http://www.zillow.com/homes/for_sale/2099565208_zpid"
30697174,40.6308,-74.03798,1930,3,2,2014-07-28,1150000,2508,"SingleFamily",2015,1243000,1504,11209,NA,NA
30597054,40.66871,-73.938155,1901,4,10,2015-10-23,1540000,2413,"Townhouse",2015,826000,4257,11213,NA,NA
30608177,40.688685,-73.9531,1899,2.5,5,2015-05-26,1200000,1867,"MultiFamily2To4",2015,782000,3150,11216,NA,NA
80009951,40.712101,-73.994064,1900,2,2,2007-01-02,930680,NA,"Condominium",2014,160440,864,10002,"$1,080,000","http://www.zillow.com/homes/for_sale/80009951_zpid"
31553265,40.8278,-73.947195,1910,3.5,5,2015-01-29,1875000,1549,"MultiFamily2To4",2014,1249000,3776,10031,NA,NA
79505784,40.775947,-73.959716,NA,NA,NA,2015-09-04,3537815,NA,"Cooperative",NA,NA,NA,10075,NA,NA
31966849,40.74303,-73.87469,1931,NA,NA,2015-11-10,830000,2000,"SingleFamily",2007,550000,2000,11373,NA,NA
2131699360,40.7187,-73.9988,1915,3,2,NA,NA,NA,"Condominium",NA,NA,1594,10013,"$2,750,000","http://www.zillow.com/homes/for_sale/2131699360_zpid"
32184629,40.669715,-73.78944,1950,1,4,2014-01-13,225000,4000,"SingleFamily",2015,430000,975,11436,NA,NA
31966510,40.74614,-73.872885,1930,NA,NA,2015-03-03,895000,2500,"Duplex",2015,796000,2502,11373,NA,NA
31497237,40.722735,-73.99568,1900,8,6,2013-01-11,650000,2450,"MultiFamily2To4",2007,1929000,7300,10012,"$17,000,000","http://www.zillow.com/homes/for_sale/31497237_zpid"
68312272,40.693509,-73.907509,1914,1,3,2015-12-03,525000,NA,"Condominium",2015,83974,810,11237,NA,NA
30582703,40.67608,-73.97693,1920,1,3,2015-12-07,1150000,2083,"MultiFamily2To4",2015,1674000,6830,11217,NA,NA
32149133,40.72023,-73.74266,1930,NA,NA,2015-09-16,380000,1600,"SingleFamily",2015,431000,1328,11428,NA,NA
32174332,40.67562,-73.81207,1925,NA,NA,2015-05-26,650000,2485,"SingleFamily",2007,188000,2420,11420,NA,NA
119917409,40.853525,-73.939576,NA,NA,NA,2013-08-28,440000,NA,"Cooperative",NA,NA,NA,10033,NA,NA
32070096,40.718505,-73.810966,1973,NA,NA,2015-01-09,318000,38440,"Condominium",2015,57476,729,11367,NA,NA
32094814,40.76085,-73.739255,1925,2.5,3,2016-01-08,1150000,5898,"SingleFamily",2015,824000,2184,11362,NA,NA
2099007754,40.667745,-73.750091,NA,4,6,NA,NA,NA,"MultiFamily2To4",NA,NA,NA,11413,"$690,000","http://www.zillow.com/homes/for_sale/2099007754_zpid"
30603807,40.68757,-73.92778,1899,2,2,2013-05-09,710000,1667,"MultiFamily2To4",2015,371000,2001,11221,NA,NA
31173045,40.724208,-73.699539,1918,2,3,2015-12-01,495000,5501,"SingleFamily",2015,370400,1787,11001,NA,NA
97515400,40.704479,-74.010406,2005,1,1,2014-06-05,945337,NA,"MultiFamily2To4",2014,251344,800,10004,NA,NA
32301156,40.637841,-74.168941,1920,1,3,2016-02-23,230100,3700,"SingleFamily",2015,240000,1360,10303,NA,NA
32149417,40.722804,-73.743715,1920,1.5,3,2013-11-08,240000,3000,"SingleFamily",2015,396000,1488,11428,NA,NA
32008939,40.704455,-73.90638,1910,2,5,2015-09-08,1100000,4499,"MultiFamily2To4",2015,684000,1840,11385,NA,NA
32318315,40.620529,-74.075705,1901,6,6,2013-12-01,499900,5000,"MultiFamily2To4",2015,401000,3375,10304,NA,NA
30689219,40.630465,-74.008015,1930,3,4,2002-07-15,368000,2000,"Miscellaneous",2015,722000,1560,11219,"$1,499,000","http://www.zillow.com/homes/for_sale/30689219_zpid"
31553527,40.834199,-73.94196,1905,NA,NA,2013-11-15,342000,1584,"SingleFamily",2007,370000,2800,10032,NA,NA
